job_title,job_description,required_skills,experience,education,responsibilities,salary,benefits,quality_score,quality_label,issues,clean_description
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",5 years,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",100000-150000,"Paid leave, training budget, performance bonus",93,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Graphic Designer,Looking for someone for a Graphic Designer position. Good opportunity.,"Photoshop, Illustrator, Canva",Not specified,Not specified,Not specified,Not specified,Not specified,29,Poor,Job responsibilities unclear and required skills missing,looking for someone for a graphic designer position good opportunity
Accountant,"We are looking for a Accountant to join our team. The successful candidate will use Excel, Accounting, QuickBooks to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a BS Accounting. Strong communication, problem-solving, and teamwork skills are expected.","Excel, Accounting, QuickBooks",2-3 years,BS Accounting,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",50000-80000,"Medical insurance, flexible hours, paid vacation",89,Good,,we are looking for a accountant to join our team the successful candidate will use excel accounting quickbooks to support our projects and business goals candidates should have 2 3 years of relevant experience and a bs accounting strong communication problem solving and teamwork skills are expected
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",Not specified,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",80000-130000,"Health insurance, annual bonus, professional development",60,Average,Salary information missing,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
HR Manager,"We are hiring a HR Manager. The candidate should have knowledge of Recruitment, HR Management. The role involves supporting company projects and completing assigned tasks.","Recruitment, HR Management, Communication",1 year,BS Human Resources,"Analyze data, prepare reports, communicate findings, and support business decisions.",Not specified,"Paid leave, training budget, performance bonus",73,Average,Responsibilities are limited,we are hiring a hr manager the candidate should have knowledge of recruitment hr management the role involves supporting company projects and completing assigned tasks
Accountant,"We are looking for a Accountant to join our team. The successful candidate will use Excel, Accounting, QuickBooks to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Accounting. Strong communication, problem-solving, and teamwork skills are expected.","Excel, Accounting, QuickBooks",2 years,BS Accounting,"Analyze data, prepare reports, communicate findings, and support business decisions.",100000-160000,"Health insurance, annual bonus, professional development",89,Good,,we are looking for a accountant to join our team the successful candidate will use excel accounting quickbooks to support our projects and business goals candidates should have 2 years of relevant experience and a bs accounting strong communication problem solving and teamwork skills are expected
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",2 years,BS Data Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",90000-140000,"Paid leave, training budget, performance bonus",96,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 2 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
Content Writer,Looking for someone for a Content Writer position. Good opportunity.,"Writing, SEO, Research",Not specified,Not specified,Not specified,Not specified,Not specified,26,Poor,"Skills, experience, education, responsibilities and salary missing",looking for someone for a content writer position good opportunity
Cybersecurity Analyst,"We are looking for a Cybersecurity Analyst to join our team. The successful candidate will use Network Security, Linux, SIEM to support our projects and business goals. Candidates should have 1 year of relevant experience and a BS Cybersecurity. Strong communication, problem-solving, and teamwork skills are expected.","Network Security, Linux, SIEM, Python",1 year,BS Cybersecurity,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",100000-160000,"Health insurance, annual bonus, professional development",96,Good,,we are looking for a cybersecurity analyst to join our team the successful candidate will use network security linux siem to support our projects and business goals candidates should have 1 year of relevant experience and a bs cybersecurity strong communication problem solving and teamwork skills are expected
Teacher,"We are hiring a Teacher. The candidate should have knowledge of Teaching, Communication. The role involves supporting company projects and completing assigned tasks.","Teaching, Communication, Lesson Planning",2 years,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-100000,"Medical insurance, flexible hours, paid vacation",77,Average,Education requirement missing,we are hiring a teacher the candidate should have knowledge of teaching communication the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,Looking for someone for a Cybersecurity Analyst position. Good opportunity.,"Network Security, Linux, SIEM, Python",Not specified,Not specified,Not specified,Not specified,Not specified,28,Poor,"Skills, experience, education, responsibilities and salary missing",looking for someone for a cybersecurity analyst position good opportunity
Database Administrator,"We are hiring a Database Administrator. The candidate should have knowledge of SQL, MySQL. The role involves supporting company projects and completing assigned tasks.","SQL, MySQL, PostgreSQL, Backup",1 year,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-100000,"Medical insurance, flexible hours, paid vacation",75,Average,Benefits information missing,we are hiring a database administrator the candidate should have knowledge of sql mysql the role involves supporting company projects and completing assigned tasks
Marketing Manager,"We are looking for a Marketing Manager to join our team. The successful candidate will use SEO, Google Ads, Analytics to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SEO, Google Ads, Analytics, Communication",3 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",70000-130000,"Health insurance, paid leave, annual bonus",86,Good,,we are looking for a marketing manager to join our team the successful candidate will use seo google ads analytics to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Machine Learning Engineer,"We are looking for a Machine Learning Engineer to join our team. The successful candidate will use Python, TensorFlow, Scikit-learn to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, TensorFlow, Scikit-learn, SQL",3 years,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",50000-110000,"Medical insurance, flexible hours, paid vacation",98,Good,,we are looking for a machine learning engineer to join our team the successful candidate will use python tensorflow scikit learn to support our projects and business goals candidates should have 3 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Project Manager,We need a hardworking Project Manager. Apply now.,"Agile, Jira, Communication, Risk Management",Not specified,Not specified,Not specified,Not specified,Not specified,23,Poor,"Experience, education, salary and benefits missing",we need a hardworking project manager apply now
Graphic Designer,"We are looking for a Graphic Designer to join our team. The successful candidate will use Photoshop, Illustrator, Canva to support our projects and business goals. Candidates should have 3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Photoshop, Illustrator, Canva",3 years,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",60000-90000,"Medical insurance, flexible hours, paid vacation",96,Good,,we are looking for a graphic designer to join our team the successful candidate will use photoshop illustrator canva to support our projects and business goals candidates should have 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Scientist,"We are hiring a Data Scientist. The candidate should have knowledge of Python, Pandas. The role involves supporting company projects and completing assigned tasks.","Python, Pandas, Scikit-learn, SQL",1 year,BS Data Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",80000-130000,"Health insurance, annual bonus, professional development",69,Average,Experience requirement unclear,we are hiring a data scientist the candidate should have knowledge of python pandas the role involves supporting company projects and completing assigned tasks
Cybersecurity Analyst,"We are hiring a Cybersecurity Analyst. The candidate should have knowledge of Network Security, Linux. The role involves supporting company projects and completing assigned tasks.","Network Security, Linux, SIEM, Python",1 year,BS Cybersecurity,"Support customers, resolve queries, document interactions, and maintain service quality.",Not specified,Not specified,63,Average,Experience requirement unclear,we are hiring a cybersecurity analyst the candidate should have knowledge of network security linux the role involves supporting company projects and completing assigned tasks
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",1 year,BS Computer Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",80000-130000,"Health insurance, paid leave, annual bonus",66,Average,Education requirement missing,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
Graphic Designer,"We are hiring a Graphic Designer. The candidate should have knowledge of Photoshop, Illustrator. The role involves supporting company projects and completing assigned tasks.","Photoshop, Illustrator, Canva",2 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-100000,"Medical insurance, flexible hours, paid vacation",78,Average,Education requirement missing,we are hiring a graphic designer the candidate should have knowledge of photoshop illustrator the role involves supporting company projects and completing assigned tasks
Customer Support Representative,We need a hardworking Customer Support Representative. Apply now.,"Communication, CRM, Problem Solving",Not specified,Not specified,Not specified,Not specified,Not specified,21,Poor,"Experience, education, salary and benefits missing",we need a hardworking customer support representative apply now
Mobile App Developer,"We are hiring a Mobile App Developer. The candidate should have knowledge of Kotlin, Java. The role involves supporting company projects and completing assigned tasks.","Kotlin, Java, Android Studio",1 year,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-130000,"Health insurance, paid leave, annual bonus",65,Average,Salary information missing,we are hiring a mobile app developer the candidate should have knowledge of kotlin java the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",2 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",Not specified,"Health insurance, paid leave, annual bonus",71,Average,Benefits information missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Content Writer,We need a hardworking Content Writer. Apply now.,"Writing, SEO, Research",Not specified,Not specified,Not specified,Not specified,Not specified,35,Poor,"Skills, experience, education, responsibilities and salary missing",we need a hardworking content writer apply now
Marketing Manager,We need a person who can do Marketing Manager work. Contact us.,"SEO, Google Ads, Analytics, Communication",Not specified,Not specified,Not specified,Not specified,Not specified,44,Poor,Job responsibilities unclear and required skills missing,we need a person who can do marketing manager work contact us
Database Administrator,"We are hiring a Database Administrator. The candidate should have knowledge of SQL, MySQL. The role involves supporting company projects and completing assigned tasks.","SQL, MySQL, PostgreSQL, Backup",1 year,BS Computer Science,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",Not specified,"Health insurance, annual bonus, professional development",64,Average,Experience requirement unclear,we are hiring a database administrator the candidate should have knowledge of sql mysql the role involves supporting company projects and completing assigned tasks
Web Developer,"We are hiring a Web Developer. The candidate should have knowledge of HTML, CSS. The role involves supporting company projects and completing assigned tasks.","HTML, CSS, JavaScript, React",2 years,BS Computer Science,"Support customers, resolve queries, document interactions, and maintain service quality.",Not specified,"Paid leave, training budget, performance bonus",75,Average,Benefits information missing,we are hiring a web developer the candidate should have knowledge of html css the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",2-3 years,Bachelor degree,"Support customers, resolve queries, document interactions, and maintain service quality.",70000-130000,"Paid leave, training budget, performance bonus",98,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",3-5 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",60000-120000,"Paid leave, training budget, performance bonus",93,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 3 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Sales Executive,"We are hiring a Sales Executive. The candidate should have knowledge of Sales, CRM. The role involves supporting company projects and completing assigned tasks.","Sales, CRM, Communication, Negotiation",Not specified,Bachelor degree,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",Not specified,"Health insurance, annual bonus, professional development",65,Average,Education requirement missing,we are hiring a sales executive the candidate should have knowledge of sales crm the role involves supporting company projects and completing assigned tasks
Teacher,We need a person who can do Teacher work. Contact us.,"Teaching, Communication, Lesson Planning",Not specified,Not specified,Not specified,Not specified,Not specified,27,Poor,Job responsibilities unclear and required skills missing,we need a person who can do teacher work contact us
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",Not specified,BS Data Science,"Support customers, resolve queries, document interactions, and maintain service quality.",80000-130000,"Medical insurance, flexible hours, paid vacation",75,Average,Responsibilities are limited,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Machine Learning Engineer,"We are hiring a Machine Learning Engineer. The candidate should have knowledge of Python, TensorFlow. The role involves supporting company projects and completing assigned tasks.","Python, TensorFlow, Scikit-learn, SQL",2 years,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",80000-130000,"Paid leave, training budget, performance bonus",63,Average,Responsibilities are limited,we are hiring a machine learning engineer the candidate should have knowledge of python tensorflow the role involves supporting company projects and completing assigned tasks
Data Analyst,"We are looking for a Data Analyst to join our team. The successful candidate will use Python, SQL, Excel to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Data Science. Strong communication, problem-solving, and teamwork skills are expected.","Python, SQL, Excel, Power BI",2 years,BS Data Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-90000,"Medical insurance, flexible hours, paid vacation",92,Good,,we are looking for a data analyst to join our team the successful candidate will use python sql excel to support our projects and business goals candidates should have 2 years of relevant experience and a bs data science strong communication problem solving and teamwork skills are expected
UI UX Designer,"We are looking for a UI UX Designer to join our team. The successful candidate will use Figma, UI Design, UX Research to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Design. Strong communication, problem-solving, and teamwork skills are expected.","Figma, UI Design, UX Research, Prototyping",3-5 years,BS Design,"Support customers, resolve queries, document interactions, and maintain service quality.",100000-160000,"Health insurance, annual bonus, professional development",94,Good,,we are looking for a ui ux designer to join our team the successful candidate will use figma ui design ux research to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs design strong communication problem solving and teamwork skills are expected
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",2-3 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",60000-90000,"Health insurance, paid leave, annual bonus",95,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Web Developer,"We are looking for a Web Developer to join our team. The successful candidate will use HTML, CSS, JavaScript to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","HTML, CSS, JavaScript, React",5 years,BS Computer Science,"Support customers, resolve queries, document interactions, and maintain service quality.",80000-130000,"Health insurance, paid leave, annual bonus",89,Good,,we are looking for a web developer to join our team the successful candidate will use html css javascript to support our projects and business goals candidates should have 5 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Network Administrator,"We are looking for a Network Administrator to join our team. The successful candidate will use Networking, Cisco, TCP/IP to support our projects and business goals. Candidates should have 1 year of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Networking, Cisco, TCP/IP, Linux",1 year,BS Computer Science,"Support customers, resolve queries, document interactions, and maintain service quality.",70000-100000,"Medical insurance, flexible hours, paid vacation",86,Good,,we are looking for a network administrator to join our team the successful candidate will use networking cisco tcp ip to support our projects and business goals candidates should have 1 year of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Data Scientist,"We are hiring a Data Scientist. The candidate should have knowledge of Python, Pandas. The role involves supporting company projects and completing assigned tasks.","Python, Pandas, Scikit-learn, SQL",Not specified,BS Data Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",80000-130000,"Medical insurance, flexible hours, paid vacation",76,Average,Benefits information missing,we are hiring a data scientist the candidate should have knowledge of python pandas the role involves supporting company projects and completing assigned tasks
Business Analyst,"We are hiring a Business Analyst. The candidate should have knowledge of SQL, Excel. The role involves supporting company projects and completing assigned tasks.","SQL, Excel, Requirements Analysis",1 year,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",Not specified,Not specified,63,Average,Responsibilities are limited,we are hiring a business analyst the candidate should have knowledge of sql excel the role involves supporting company projects and completing assigned tasks
Sales Executive,"We are hiring a Sales Executive. The candidate should have knowledge of Sales, CRM. The role involves supporting company projects and completing assigned tasks.","Sales, CRM, Communication, Negotiation",Not specified,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",Not specified,"Health insurance, annual bonus, professional development",65,Average,Benefits information missing,we are hiring a sales executive the candidate should have knowledge of sales crm the role involves supporting company projects and completing assigned tasks
Content Writer,"We are looking for a Content Writer to join our team. The successful candidate will use Writing, SEO, Research to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Writing, SEO, Research",2-3 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",100000-140000,"Health insurance, annual bonus, professional development",90,Good,,we are looking for a content writer to join our team the successful candidate will use writing seo research to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Content Writer,Looking for someone for a Content Writer position. Good opportunity.,"Writing, SEO, Research",Not specified,Not specified,Not specified,Not specified,Not specified,47,Poor,Job responsibilities unclear and required skills missing,looking for someone for a content writer position good opportunity
Accountant,Looking for someone for a Accountant position. Good opportunity.,"Excel, Accounting, QuickBooks",Not specified,Not specified,Not specified,Not specified,Not specified,46,Poor,"Experience, education, salary and benefits missing",looking for someone for a accountant position good opportunity
Marketing Manager,"We are hiring a Marketing Manager. The candidate should have knowledge of SEO, Google Ads. The role involves supporting company projects and completing assigned tasks.","SEO, Google Ads, Analytics, Communication",Not specified,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",Not specified,"Medical insurance, flexible hours, paid vacation",77,Average,Experience requirement unclear,we are hiring a marketing manager the candidate should have knowledge of seo google ads the role involves supporting company projects and completing assigned tasks
Sales Executive,Looking for someone for a Sales Executive position. Good opportunity.,"Sales, CRM, Communication, Negotiation",Not specified,Not specified,Not specified,Not specified,Not specified,32,Poor,"Skills, experience, education, responsibilities and salary missing",looking for someone for a sales executive position good opportunity
Web Developer,We need a person who can do Web Developer work. Contact us.,"HTML, CSS, JavaScript, React",Not specified,Not specified,Not specified,Not specified,Not specified,20,Poor,"Experience, education, salary and benefits missing",we need a person who can do web developer work contact us
Machine Learning Engineer,Looking for someone for a Machine Learning Engineer position. Good opportunity.,"Python, TensorFlow, Scikit-learn, SQL",Not specified,Not specified,Not specified,Not specified,Not specified,20,Poor,Job responsibilities unclear and required skills missing,looking for someone for a machine learning engineer position good opportunity
Graphic Designer,"We are looking for a Graphic Designer to join our team. The successful candidate will use Photoshop, Illustrator, Canva to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Photoshop, Illustrator, Canva",2-3 years,Bachelor degree,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",50000-100000,"Medical insurance, flexible hours, paid vacation",85,Good,,we are looking for a graphic designer to join our team the successful candidate will use photoshop illustrator canva to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Database Administrator,"We are looking for a Database Administrator to join our team. The successful candidate will use SQL, MySQL, PostgreSQL to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","SQL, MySQL, PostgreSQL, Backup",2 years,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",70000-120000,"Medical insurance, flexible hours, paid vacation",89,Good,,we are looking for a database administrator to join our team the successful candidate will use sql mysql postgresql to support our projects and business goals candidates should have 2 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
HR Manager,"We are looking for a HR Manager to join our team. The successful candidate will use Recruitment, HR Management, Communication to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Human Resources. Strong communication, problem-solving, and teamwork skills are expected.","Recruitment, HR Management, Communication",3 years,BS Human Resources,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",90000-130000,"Health insurance, paid leave, annual bonus",90,Good,,we are looking for a hr manager to join our team the successful candidate will use recruitment hr management communication to support our projects and business goals candidates should have 3 years of relevant experience and a bs human resources strong communication problem solving and teamwork skills are expected
Mobile App Developer,"We are looking for a Mobile App Developer to join our team. The successful candidate will use Kotlin, Java, Android Studio to support our projects and business goals. Candidates should have 5 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Kotlin, Java, Android Studio",5 years,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",100000-130000,"Paid leave, training budget, performance bonus",96,Good,,we are looking for a mobile app developer to join our team the successful candidate will use kotlin java android studio to support our projects and business goals candidates should have 5 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Business Analyst,"We are looking for a Business Analyst to join our team. The successful candidate will use SQL, Excel, Requirements Analysis to support our projects and business goals. Candidates should have 1 year of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","SQL, Excel, Requirements Analysis",1 year,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",70000-120000,"Health insurance, annual bonus, professional development",98,Good,,we are looking for a business analyst to join our team the successful candidate will use sql excel requirements analysis to support our projects and business goals candidates should have 1 year of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Data Scientist,We need a hardworking Data Scientist. Apply now.,"Python, Pandas, Scikit-learn, SQL",Not specified,Not specified,Not specified,Not specified,Not specified,43,Poor,"Experience, education, salary and benefits missing",we need a hardworking data scientist apply now
Teacher,We need a person who can do Teacher work. Contact us.,"Teaching, Communication, Lesson Planning",Not specified,Not specified,Not specified,Not specified,Not specified,44,Poor,"Experience, education, salary and benefits missing",we need a person who can do teacher work contact us
Customer Support Representative,"We are looking for a Customer Support Representative to join our team. The successful candidate will use Communication, CRM, Problem Solving to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Communication, CRM, Problem Solving",3-5 years,Bachelor degree,"Manage projects, coordinate stakeholders, track deadlines, and resolve project risks.",50000-100000,"Medical insurance, flexible hours, paid vacation",93,Good,,we are looking for a customer support representative to join our team the successful candidate will use communication crm problem solving to support our projects and business goals candidates should have 3 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Graphic Designer,"We are looking for a Graphic Designer to join our team. The successful candidate will use Photoshop, Illustrator, Canva to support our projects and business goals. Candidates should have 5 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Photoshop, Illustrator, Canva",5 years,Bachelor degree,"Support customers, resolve queries, document interactions, and maintain service quality.",100000-160000,"Health insurance, annual bonus, professional development",94,Good,,we are looking for a graphic designer to join our team the successful candidate will use photoshop illustrator canva to support our projects and business goals candidates should have 5 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Network Administrator,"We are looking for a Network Administrator to join our team. The successful candidate will use Networking, Cisco, TCP/IP to support our projects and business goals. Candidates should have 3 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Networking, Cisco, TCP/IP, Linux",3 years,BS Computer Science,"Analyze data, prepare reports, communicate findings, and support business decisions.",70000-130000,"Medical insurance, flexible hours, paid vacation",90,Good,,we are looking for a network administrator to join our team the successful candidate will use networking cisco tcp ip to support our projects and business goals candidates should have 3 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Data Analyst,"We are hiring a Data Analyst. The candidate should have knowledge of Python, SQL. The role involves supporting company projects and completing assigned tasks.","Python, SQL, Excel, Power BI",Not specified,BS Data Science,"Create user-focused designs, review feedback, and collaborate with developers.",60000-100000,Not specified,68,Average,Education requirement missing,we are hiring a data analyst the candidate should have knowledge of python sql the role involves supporting company projects and completing assigned tasks
Customer Support Representative,"We are hiring a Customer Support Representative. The candidate should have knowledge of Communication, CRM. The role involves supporting company projects and completing assigned tasks.","Communication, CRM, Problem Solving",Not specified,Bachelor degree,"Create user-focused designs, review feedback, and collaborate with developers.",60000-100000,"Medical insurance, flexible hours, paid vacation",77,Average,Benefits information missing,we are hiring a customer support representative the candidate should have knowledge of communication crm the role involves supporting company projects and completing assigned tasks
Mobile App Developer,"We are looking for a Mobile App Developer to join our team. The successful candidate will use Kotlin, Java, Android Studio to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","Kotlin, Java, Android Studio",3-5 years,BS Computer Science,"Develop and maintain applications, collaborate with team members, test solutions, and fix issues.",60000-100000,"Medical insurance, flexible hours, paid vacation",89,Good,,we are looking for a mobile app developer to join our team the successful candidate will use kotlin java android studio to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
Accountant,"We are looking for a Accountant to join our team. The successful candidate will use Excel, Accounting, QuickBooks to support our projects and business goals. Candidates should have 3-5 years of relevant experience and a BS Accounting. Strong communication, problem-solving, and teamwork skills are expected.","Excel, Accounting, QuickBooks",3-5 years,BS Accounting,"Create user-focused designs, review feedback, and collaborate with developers.",50000-80000,"Health insurance, annual bonus, professional development",90,Good,,we are looking for a accountant to join our team the successful candidate will use excel accounting quickbooks to support our projects and business goals candidates should have 3 5 years of relevant experience and a bs accounting strong communication problem solving and teamwork skills are expected
Sales Executive,"We are looking for a Sales Executive to join our team. The successful candidate will use Sales, CRM, Communication to support our projects and business goals. Candidates should have 2-3 years of relevant experience and a Bachelor degree. Strong communication, problem-solving, and teamwork skills are expected.","Sales, CRM, Communication, Negotiation",2-3 years,Bachelor degree,"Analyze data, prepare reports, communicate findings, and support business decisions.",90000-120000,"Paid leave, training budget, performance bonus",90,Good,,we are looking for a sales executive to join our team the successful candidate will use sales crm communication to support our projects and business goals candidates should have 2 3 years of relevant experience and a bachelor degree strong communication problem solving and teamwork skills are expected
Teacher,Looking for someone for a Teacher position. Good opportunity.,"Teaching, Communication, Lesson Planning",Not specified,Not specified,Not specified,Not specified,Not specified,39,Poor,"Skills, experience, education, responsibilities and salary missing",looking for someone for a teacher position good opportunity
Database Administrator,"We are looking for a Database Administrator to join our team. The successful candidate will use SQL, MySQL, PostgreSQL to support our projects and business goals. Candidates should have 2 years of relevant experience and a BS Computer Science. Strong communication, problem-solving, and teamwork skills are expected.","SQL, MySQL, PostgreSQL, Backup",2 years,BS Computer Science,"Manage records, prepare reports, monitor processes, and ensure accurate documentation.",60000-110000,"Medical insurance, flexible hours, paid vacation",98,Good,,we are looking for a database administrator to join our team the successful candidate will use sql mysql postgresql to support our projects and business goals candidates should have 2 years of relevant experience and a bs computer science strong communication problem solving and teamwork skills are expected
